time,prcp,cumulative
2002-06-21 08:00:00,0.071,0.071
2002-06-21 09:00:00,0.051,0.122
2002-06-21 10:00:00,0.079,0.201
2002-06-21 11:00:00,0.039,0.24000000000000002
2002-06-21 12:00:00,0.382,0.622
2002-06-21 13:00:00,0.512,1.134
2002-06-21 14:00:00,0.098,1.232
2002-06-21 15:00:00,0.169,1.401
2002-06-21 16:00:00,0.669,2.0700000000000003
2002-06-21 17:00:00,0.441,2.511
2002-06-21 18:00:00,0.228,2.7390000000000003
2002-06-21 19:00:00,0.189,2.9280000000000004
2002-06-21 20:00:00,0.012,2.9400000000000004
