event_id,start_time,end_time,duration_hr,total_rainfall_in
51.0,1949-07-27 14:00:00,1949-07-27 19:00:00,6.0,3.968
175.0,1951-07-21 03:00:00,1951-07-21 09:00:00,7.0,2.9330000000000003
416.0,1955-07-08 01:00:00,1955-07-08 10:00:00,10.0,3.889
1262.0,1977-08-31 02:00:00,1977-08-31 07:00:00,6.0,7.273000000000001
1336.0,1978-08-27 05:00:00,1978-08-27 12:00:00,8.0,3.531
1730.0,1984-06-07 21:00:00,1984-06-08 03:00:00,7.0,2.8939999999999997
1897.0,1986-06-22 02:00:00,1986-06-22 11:00:00,10.0,3.005
1961.0,1987-07-21 01:00:00,1987-07-21 10:00:00,10.0,3.8
1962.0,1987-07-24 02:00:00,1987-07-24 08:00:00,7.0,10.0
2309.0,1992-09-16 01:00:00,1992-09-16 10:00:00,10.0,3.371
2648.0,1997-08-19 10:00:00,1997-08-20 05:00:00,20.0,3.184
2970.0,2002-06-21 08:00:00,2002-06-21 20:00:00,13.0,2.94
3746.0,2014-06-19 09:00:00,2014-06-19 18:00:00,10.0,3.075
